2048,4
2561,5
3077,0
3079,1
1033,3
3083,0
2062,6
1555,2
2070,5
1560,2
3097,1
943,3
3102,0
2079,5
2132,5
2082,4
3109,1
2599,4
2088,4
2089,5
2602,5
1067,3
3116,0
3117,0
1583,3
2028,6
1585,2
2612,5
1590,2
1591,2
1596,3
3133,0
1205,3
2112,4
1383,3
1604,2
1974,6
2630,4
1377,2
1100,3
1613,2
3150,1
3151,0
3153,0
2643,4
2644,4
1109,3
1622,2
1623,2
2648,6
2649,6
2139,4
2134,4
2143,5
2658,6
2150,4
2662,0
3175,1
2665,1
2154,4
1127,2
2646,6
2670,1
3183,0
2160,6
3186,0
2675,0
2677,1
2172,6
1147,2
3196,1
1662,3
1813,3
1664,2
3202,0
2411,5
2582,5
1999,6
2695,1
1283,3
2185,5
2188,4
2840,1
3218,1
1731,2
2197,4
1174,0
2200,4
3227,1
3228,4
2245,5
2720,0
3233,1
1186,2
2661,6
2219,5
2603,5
1992,6
2226,6
1715,2
3253,0
2230,5
2743,0
2234,5
2241,5
1730,3
2755,1
2756,1
1733,3
2758,1
1825,3
2248,4
1996,6
2250,5
2338,6
1743,3
3281,0
3285,1
1752,3
1828,2
2778,1
2779,0
3292,0
1246,3
2783,1
1915,6
2337,4
2279,5
1256,2
1769,2
2794,0
2283,4
2284,4
2002,6
1262,3
3311,4
2522,5
2511,4
2290,4
2151,5
2293,4
2429,5
3321,0
1787,3
1304,3
2303,4
1282,3
3331,0
3333,0
2310,5
1801,2
2314,5
2007,6
2828,1
2829,0
2605,5
2008,4
2834,0
3348,0
3349,1
2072,4
3351,0
3352,0
2329,4
1306,2
2207,5
1821,3
1310,3
1313,2
2850,0
2267,5
3364,1
2341,5
2584,6
1834,2
3371,1
1836,2
1325,3
2864,0
1330,2
2867,1
2325,5
2870,0
1847,2
2873,1
2005,6
2527,5
3388,1
2365,6
2878,1
3397,0
3398,0
1353,2
2103,4
1872,3
2385,4
3412,0
1849,3
2907,1
1884,2
2637,6
2911,1
2912,1
1889,2
2914,1
3427,1
2917,1
1894,3
1895,3
2396,5
3433,1
3435,0
2126,4
2926,1
2621,6
1392,2
2041,5
1397,3
2366,6
2938,0
2055,4
2940,0
3306,4
1920,6
897,3
1922,6
1928,6
1516,3
2023,6
1421,2
2285,6
2448,6
2961,1
1939,5
2967,1
1432,2
2628,6
1946,4
1947,5
2460,6
2974,0
1952,6
2465,5
2203,6
2033,4
2472,4
2987,1
1936,6
1378,2
2352,4
1455,3
947,2
2462,4
2543,5
955,3
1468,2
1981,6
1984,5
2379,6
2209,5
968,2
2636,5
1994,5
2551,5
2508,5
974,2
3023,1
2010,6
2334,4
1614,2
1273,2
1496,3
985,3
3034,1
1103,3
3036,0
1503,3
992,2
994,2
2019,6
2158,6
1509,3
1510,2
2641,6
2025,6
3050,0
2539,6
3052,0
2029,4
3055,1
2544,4
1278,3
3430,4
1523,2
3061,0
1015,3
2552,5
3065,1
1019,3
2556,4
1021,3
